from,to,detail,type,contract_size
UK government,Topham Guerin,"Topham Guerin was <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-tory-linked-pr-firm-given-3m-covid-19-contract-without-tender/"">awarded a £3 million contract</a> by the Cabinet Office to work on COVID-19 messaging without tender",contract,3000
Topham Guerin,Ben Guerin,Ben Guerin is a founding partner of Topham Guerin,member,
Topham Guerin,Sean Topham,Sean Topham is a founding partner of Topham Guerin,member,
Conservative party,Topham Guerin,"Topham Guerin was hired to run <a target=""_blank"" href=""https://www.ft.com/content/a61cd0b2-0ba4-11ea-bb52-34c8d9dc6d84"">digital campaign strategy</a> for the Conservatives in the 2019 election, including a stunt where the Conservative party Twitter account was renamed ""factcheckUK"" in an attempt to mislead users",contract,
Conservative party,Michael Gove,Michael Gove is a Conservative MP and Minister for the Cabinet Office,member,
UK government,Public First,"Public First was awarded an <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-key-cummings-ally-given-840000-covid-contract-without-competition/"">£840,000 contract</a> without open tender, though the firm ultimately invoiced the Cabinet Office <a href=""https://www.theguardian.com/politics/2020/nov/18/no-documentation-no-justification-nao-criticism-of-covid-contracts"">a smaller sum of £550,000</a>",contract,840
Public First,James Frayne,James Frayne is a founding partner of PR firm Public First,member,
New Frontiers Foundation,James Frayne,"James Frayne was a founding member of New Frontiers Foundation, a rightwing think tank",member,
New Frontiers Foundation,Dominic Cummings,"Dominic Cummings was a founding member of New Frontiers Foundation, a rightwing think tank",member,
Public First,Rachel Wolf,Rachel Wolf is a founding partner of PR firm Public First,member,
Rachel Wolf,Michael Gove,Rachel Wolf is a former adviser to Michael Gove,job,
Conservative party,Rachel Wolf,Rachel Wolf co-wrote the 2019 Tory manifesto,job,
Business for Sterling,James Frayne,"James Frayne was a policy research for ""Business for Sterling"", a campaign against Britain joining the Euro",member,
Business for Sterling,Dominic Cummings,"Dominic Cummings was campaign director at ""Business for Sterling"", a campaign against Britain joining the Euro",member,
Conservative party,Dominic Cummings,"Dominic Cummings recently served as Chief Adviser to the Prime Minister, and previously as Director of Strategy for then-leader Iain Duncan-Smith in 2002",job,
Dominic Cummings,Michael Gove,"Dominic Cummings was a Special Adviser to Michael Gove at Department for Education, 2011-2014",job,
New Schools Network,Rachel Wolf,Rachel Wolf founded the New Schools Network,member,
New Schools Network,Dominic Cummings,Dominic Cummings worked as a paid freelancer for the New Schools Network in 2010,job,
Babylon Health,Dominic Cummings,Dominic Cummings served as a Communications adviser for Babylon Health until 2018,job,
Babylon Health,Matt Hancock,"Matt Hancock appeared in a <a target=""_blank"" href=""https://www.theguardian.com/politics/2018/nov/30/matt-hancock-accused-of-breaching-code-over-gp-app-endorsement"">paid ""advertorial"" for Babylon Health</a> in the Evening Standard",job,
Conservative party,Matt Hancock,Matt Hancock is a Conservative MP and government minister,member,
Conservative party,Globus (Shetland),"Globus (Shetland) has donated <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=globus&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">more than £350,000</a> to the Tories since 2016",donor,350
UK government,Globus (Shetland),"Globus (Shetland) was awarded a <a target=""_blank"" href=""https://bylinetimes.com/2020/09/16/company-conservative-donations-government-ppe-procurement-deal/"">£93 million PPE contract</a> by the UK government",contract,93000
UK government,Conservative party,The Conservatives have been in government since 2010 (in coalition) and since 2015 as a single-party government,member,
UK government,Boris Johnson,Boris Johnson is the Prime Minister,member,
Conservative party,Boris Johnson,Boris Johnson is a Conservative MP and currently Prime Minister,member,
Leader's Club,Boris Johnson,The Prime Minister regularly attends private dinners and drinks receptions with this group of wealthy Tory donors,group,
Globus Group,Haraldur Agustsson,Agustsson is CEO of Globus Group,job,
UK government,Serco,"Serco has been awarded <a target=""_blank"" href=""https://www.opendemocracy.net/en/dark-money-investigations/revealed-failing-serco-won-another-57m-covid-contract-without-competition/"">several large government contracts</a>, including a contact-tracing contract that is reportedly worth up to £410 million and a contract for COVID-19 testing centres worth £57 million",contract,467000
Conservative party,Edward Argar,Edward Argar is a Conservative MP and government minister,member,
UK government,Edward Argar,Edward Argar is a Conservative MP and government minister,job,
